T_600,T_800,T_1000,T_1200,T_1400,T_1600,T_1800,Beta_0.15,Beta_0.17,Beta_0.19,Beta_0.21,Beta_0.23,Beta_0.25,Beta_0.27,Beta_0.29
446.549701,329.9732395,235.4213889,162.004858,107.7185973,69.54624512,43.91226255,9.348191711,20.73774735,45.44884953,98.7244859,212.010116,446.549701,913.5945273,1799.81505
518.679147,380.8659779,269.1695158,182.7658424,119.4043491,75.47138899,46.54623396,9.650760686,21.90080507,49.16557766,109.4988348,240.9525672,518.679147,1080.050443,2154.150988
602.8068202,440.1871851,308.3770606,206.7053396,132.7009618,82.08033168,49.41021058,9.96442485,23.13749591,53.2251079,121.5798743,274.1448585,602.8068202,1276.193311,2572.180439
700.8496465,509.3339368,353.9715619,234.3647519,147.872075,89.4731105,52.53122496,10.28966856,24.45327331,57.6635157,135.1401961,312.226782,700.8496465,1506.665289,3062.066636
814.9814524,589.9110315,407.0302391,266.3786215,165.2280834,97.76678798,55.94022994,10.62700181,25.85406333,62.5210785,150.3757253,355.9287511,814.9814524,1776.538464,3631.4966
947.6485665,683.7522179,468.7995897,303.48899,185.1342916,107.0985747,59.67275707,10.97696185,27.34631081,67.84278251,167.50864,406.0821053,947.6485665,2091.223586,4286.837679
1101.578409,792.9399656,540.7159957,346.5613122,208.0202879,117.6295216,63.76969671,11.34011492,28.93703042,73.6788867,186.7905722,463.6298039,1101.578409,2456.306312,5031.970403
1279.776946,919.8218723,624.4267514,396.6018884,234.3906455,129.5488737,68.27822365,11.71705809,30.63386292,80.08554908,208.506095,529.6372253,1279.776946,2877.28588,5866.775721
1485.509512,1067.020998,721.8105751,454.7766793,264.8370409,143.0791834,73.25289616,12.10842124,32.44513734,87.12552026,232.9764976,605.3026416,1485.509512,3359.188355,6785.316146
1722.257952,1237.436384,834.9961851,522.4312295,300.0518618,158.4822922,78.75696207,12.51486923,34.37993964,94.86890934,260.5638408,691.9667486,1722.257952,3906.0271,7773.854222
1993.645268,1434.228757,966.3768732,601.1112149,340.8433358,176.066291,84.86391097,12.93710414,36.44818848,103.3940272,291.6752745,791.1203851,1993.645268,4520.089769,8809.000094
2303.317308,1660.784918,1118.618162,692.5828317,388.152162,196.1935749,91.65931897,13.37586779,38.66071871,112.7883116,326.7675816,904.4092625,2303.317308,5201.047596,9856.455402
2654.769687,1920.652665,1294.654573,798.8518265,443.0695414,219.2901017,99.24303975,13.83194431,41.02937363,123.1493391,366.351893,1033.634138,2654.769687,5944.91321,10870.97349
3051.107709,2217.436429,1497.670221,922.1794026,506.8563855,245.8559601,107.7318043,14.30616305,43.56710645,134.585927,410.998489,1180.744406,3051.107709,6742.921006,11798.1972
3494.728327,2554.642373,1731.056474,1065.092491,580.9632996,276.4773354,117.2623003,14.79940161,46.28809217,147.2193285,461.3415628,1347.822546,3494.728327,7580.469137,12578.85322
3986.917161,2935.46103,1998.338241,1230.384923,667.0506858,311.8399367,127.9948124,15.31258913,49.20785059,161.1845243,518.0837745,1537.056273,3986.917161,8436.337679,13155.2928
